country,country_code,continent,population,indicator,daily_count,date,rate_14_day,source
India,IND,Asia,1380004385,confirmed cases,0,2020-01-02,,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,0,2020-01-03,,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,0,2020-01-04,,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,0,2020-01-05,,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,0,2020-01-06,,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,0,2020-01-07,,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,0,2020-01-08,,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,0,2020-01-09,,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,0,2020-01-10,,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,0,2020-01-11,,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,0,2020-01-12,,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,0,2020-01-13,,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,0,2020-01-14,,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,0,2020-01-15,0,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,0,2020-01-16,0,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,0,2020-01-17,0,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,0,2020-01-18,0,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,0,2020-01-19,0,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,0,2020-01-20,0,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,0,2020-01-21,0,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,0,2020-01-22,0,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,0,2020-01-23,0,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,0,2020-01-24,0,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,0,2020-01-25,0,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,0,2020-01-26,0,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,0,2020-01-27,0,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,0,2020-01-28,0,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,0,2020-01-29,0,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,1,2020-01-30,7.25E-05,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,0,2020-01-31,7.25E-05,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,0,2020-02-01,7.25E-05,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,1,2020-02-02,0.000144927,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,0,2020-02-03,0.000144927,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,1,2020-02-04,0.000217391,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,0,2020-02-05,0.000217391,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,0,2020-02-06,0.000217391,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,0,2020-02-07,0.000217391,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,0,2020-02-08,0.000217391,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,0,2020-02-09,0.000217391,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,0,2020-02-10,0.000217391,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,0,2020-02-11,0.000217391,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,0,2020-02-12,0.000217391,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,0,2020-02-13,0.000144927,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,0,2020-02-14,0.000144927,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,0,2020-02-15,0.000144927,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,0,2020-02-16,7.25E-05,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,0,2020-02-17,7.25E-05,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,0,2020-02-18,0,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,0,2020-02-19,0,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,0,2020-02-20,0,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,0,2020-02-21,0,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,0,2020-02-22,0,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,0,2020-02-23,0,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,0,2020-02-24,0,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,0,2020-02-25,0,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,0,2020-02-26,0,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,0,2020-02-27,0,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,0,2020-02-28,0,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,0,2020-02-29,0,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,0,2020-03-01,0,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,0,2020-03-02,0,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,2,2020-03-03,0.000144927,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,1,2020-03-04,0.000217391,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,22,2020-03-05,0.001811588,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,1,2020-03-06,0.001884052,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,2,2020-03-07,0.002028979,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,3,2020-03-08,0.00224637,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,0,2020-03-09,0.00224637,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,10,2020-03-10,0.002971005,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,6,2020-03-11,0.003405786,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,23,2020-03-12,0.005072448,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,2,2020-03-13,0.005217375,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,8,2020-03-14,0.005797083,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,7,2020-03-15,0.006304328,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,3,2020-03-16,0.006521718,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,32,2020-03-17,0.008695625,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,12,2020-03-18,0.009492723,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,28,2020-03-19,0.009927505,"Epidemic intelligence, national daily data"
India,IND,Asia,1380004385,confirmed cases,26,2020-03-20,0.011739093,"Epidemic intelligence, national daily data"
